"Identifier","Name","Brand","Action","Clinical Stage","Putative Target","Targeted process/pathway"
293,"MP470",,"targeted","in clinical development","PDGFR","RTK signaling"
294,"MPS-1-IN-1",,"targeted","experimental","MPS1","mitosis"
295,"NVP-BHG712",,"targeted","experimental","EPHB4","RTK signaling"
298,"OSI-930",,"targeted","in clinical development","KIT, VEGFR, PDGFR","RTK signaling"
299,"OSI-027",,"targeted","in clinical development","MTORC1/2","TOR signaling"
300,"CX-5461",,"targeted","experimental","RNA Pol I","other"
301,"PHA-793887",,"targeted","experimental","CDK-pan","cell cycle"
302,"PI-103",,"targeted","experimental","PI3Ka, PRKDC (DNAPK)","PI3K signaling"
303,"PIK-93",,"targeted","experimental","PI4K, PI3K","PI3K signaling"
304,"SB52334",,"targeted","experimental","ALK5","RTK signaling"
305,"TPCA-1",,"targeted","experimental","IKK","other"
306,"TG101348",,"targeted","in clinical development","JAK2","other"
308,"XL-880",,"targeted","in clinical development","MET","RTK signaling"
309,"Y-39983",,"targeted","experimental","ROCK","cytoskeleton"
310,"YM201636",,"targeted","experimental","FYV1","other"
312,"AV-951",,"targeted","in clinical development","VEGFR","RTK signaling"
326,"GSK690693",,"targeted","experimental","AKT","PI3K signaling"
328,"SNX-2112",,"targeted","experimental","HSP90","other"
329,"QL-XI-92",,"targeted","experimental","DDR1","RTK signaling"
330,"XMD13-2",,"targeted","experimental","RIPK","other"
331,"QL-X-138",,"targeted","experimental","MNK2, PRKDC (DNAPK), MTOR, BTK, JAK3","other"
332,"XMD15-27",,"targeted","experimental","CAMK2B, CLK2, DYRK1A, MAST1, STK39","other"
333,"T0901317",,"targeted","experimental","LXR","other"
341,"EX-527",,"targeted","experimental","SIRT1","other"
344,"THZ-2-49",,"targeted","experimental","CDK9","cell cycle"
345,"KIN001-270",,"targeted","experimental","CDK9","cell cycle"
346,"THZ-2-102-1",,"targeted","experimental","CDK7","cell cycle"
1001,"AICAR","AICAR","targeted","in clinical development","AAPK1 (AMPK) agonist","metabolism"
1003,"Camptothecin","SN-38","cytotoxic","clinically approved","TOP1","DNA replication"
1004,"Vinblastine","Vinblastine","cytotoxic","clinically approved","Microtubules","cytoskeleton"
1005,"Cisplatin","Cisplatin","cytotoxic","clinically approved","DNA crosslinker","DNA replication"
1006,"Cytarabine","Cytarabine (AraC)","cytotoxic","clinically approved","DNA synthesis","DNA replication"
1007,"Docetaxel","Taxotere","cytotoxic","clinically approved","Microtubules","cytoskeleton"
1008,"Methotrexate","Methotrexate","cytotoxic","clinically approved","Dihydrofolate reductase (DHFR)","DNA replication"
1009,"ATRA","Vesanoid","targeted","clinically approved","Retinoic acid and retinoid X receptor agonist","other"
1010,"Gefitinib","Iressa","targeted","clinically approved","EGFR","EGFR signaling"
1011,"ABT-263",,"targeted","in clinical development","BCL2, BCL2L1, BCL2L2","apoptosis regulation"
1012,"Vorinostat","Zolinza","targeted","clinically approved","HDAC inhibitor Class I, IIa, IIb, IV","chromain  histone acetylation"
1013,"Nilotinib","Tasigna","targeted","clinically approved","ABL","ABL signaling"
1014,"RDEA119",,"targeted","in clinical development","MAP2K1 (MEK1), MAP2K2 (MEK2)","ERK MAPK signaling"
1015,"CI-1040",,"targeted","in clinical development","MAP2K1 (MEK1), MAP2K2 (MEK2)","ERK MAPK signaling"
1016,"Temsirolimus","Torisel","targeted","clinically approved","MTOR","TOR signaling"
1017,"Olaparib","Lynparza","targeted","in clinical development","PARP1, PARP2","Genome integrity"
1018,"ABT-888",,"targeted","in clinical development","PARP1, PARP2","Genome integrity"
1019,"Bosutinib","Bosulif","targeted","clinically approved","SRC, ABL, TEC","ABL signaling"
1020,"Lenalidomide","Revlimid","targeted","clinically approved","TNFA","other"
1021,"Axitinib","Axitinib","targeted","in clinical development","PDGFR, KIT, VEGFR","RTK signaling"
1022,"AZD7762",,"targeted","in clinical development","CHEK1, CHEK2","Genome integrity"
1023,"GW 441756",,"targeted","experimental","NTRK1","RTK signaling"
1024,"CEP-701","Lestaurtinib","targeted","in clinical development","FLT3, JAK2, NTRK1, RET","RTK signaling"
1025,"SB 216763",,"targeted","experimental","GSK3A, GSK3B","WNT signaling"
1026,"17-AAG","Telatinib","targeted","in clinical development","HSP90","other"
1028,"VX-702",,"targeted","in clinical development","p38","JNK and p38 signaling"
1029,"AMG-706","Motesanib Diphosphate","targeted","in clinical development","VEGFR, RET, c-KIT, PDGFR","RTK signaling"
1030,"KU-55933",,"targeted","experimental","ATM","Genome integrity"
1031,"Elesclomol",,"targeted","in clinical development","HSP70","other"
1032,"Afatinib","Gilotrif","targeted","clinically approved","ERBB2, EGFR","EGFR signaling"
1033,"Vismodegib","Erivedge","targeted","in clinical development","SMO","other"
1036,"PLX4720","Zelboraf (derivative)","targeted","clinically approved","BRAF","ERK MAPK signaling"
1037,"BX-795",,"targeted","in clinical development","TBK1, PDPK1, IKK, AURKB, AURKC","other"
1038,"NU-7441",,"targeted","experimental","PRKDC (DNAPK)","Genome integrity"
1039,"SL 0101-1",,"targeted","experimental","RSK, AURKB, PIM3","ERK MAPK signaling"
1042,"BIRB 0796","Doramapimod","targeted","experimental","p38, JNK2","JNK and p38 signaling"
1043,"JNK Inhibitor VIII",,"targeted","experimental","JNK","JNK and p38 signaling"
1046,681640,,"targeted","experimental","WEE1, CHEK1","cell cycle"
1047,"Nutlin-3a",,"targeted","in clinical development","MDM2","p53 pathway"
1049,"PD-173074",,"targeted","experimental","FGFR1, FGFR3","RTK signaling"
1050,"ZM-447439",,"targeted","experimental","AURKB","mitosis"
1052,"RO-3306",,"targeted","experimental","CDK1","cell cycle"
1053,"MK-2206",,"targeted","in clinical development","AKT1, AKT2","PI3K signaling"
1054,"PD-0332991",,"targeted","in clinical development","CDK4, CDK6","cell cycle"
1057,"NVP-BEZ235",,"targeted","in clinical development","PI3K (Class 1) and MTORC1/2","PI3K signaling"
1058,"GDC0941",,"targeted","in clinical development","PI3K (class 1)","PI3K signaling"
1059,"AZD8055","pp242","targeted","in clinical development","MTORC1/2","TOR signaling"
1060,"PD-0325901",,"targeted","in clinical development","MAP2K1 (MEK1), MAP2K2 (MEK2)","ERK MAPK signaling"
1061,"SB590885",,"targeted","experimental","BRAF","ERK MAPK signaling"
1062,"AZD6244",,"targeted","in clinical development","MAP2K1 (MEK1), MAP2K2 (MEK2)","ERK MAPK signaling"
1066,"AZD6482",,"targeted","in clinical development","PI3Kbeta","PI3K signaling"
1067,"CCT007093",,"targeted","experimental","PPM1D","other"
1069,"EHT 1864",,"targeted","experimental","Rac GTPases","cytoskeleton"
1072,"BMS-708163",,"targeted","in clinical development","g-secretase","other"
1091,"BMS-536924",,"targeted","experimental","IGF1R","IGFR signaling"
1114,"Cetuximab","Erbitux","targeted","clinically approved","EGFR","EGFR signaling"
1129,"PF-4708671",,"targeted","experimental","RPS6KB1 (p70S6KA)","TOR signaling"
1133,"JNJ-26854165","Serdemetan","targeted","in clinical development","MDM2","p53 pathway"
1142,"HG-5-113-01",,"targeted","in clinical development","LOK, LTK, TRCB, ABL(T315I)","ABL signaling"
1143,"HG-5-88-01",,"targeted","experimental","EGFR, ADCK4","EGFR signaling"
1149,"TW 37",,"targeted","experimental","BCL2, BCL2L1","apoptosis regulation"
1158,"XMD11-85h",,"targeted","experimental","BRSK2, FLT4, MARK4, PRKCD, RET, SPRK1","other"
1161,"ZG-10",,"targeted","experimental","IRAK1","other"
1164,"XMD8-92",,"targeted","experimental","MAP2K5 (ERK5)","other"
1166,"QL-VIII-58",,"targeted","experimental","MTOR, ATR","TOR signaling"
1170,"CCT018159",,"targeted","experimental","HSP90","other"
1175,"AG-014699",,"targeted","experimental","PARP1, PARP2","Genome integrity"
1192,"GSK269962A",,"targeted","experimental","ROCK1, ROCK2","cytoskeleton"
1194,"SB-505124",,"targeted","experimental","TGFR1 (ALK5)","other"
1199,"Tamoxifen",,"targeted","clinically approved","ER","other"
1203,"QL-XII-61",,"targeted","experimental","BTK","other"
1218,"JQ1",,"targeted","experimental","BRD2, BRD3, BRD4","chromatin  other"
1219,"PFI-1",,"targeted","experimental","BRD2, BRD3, BRD4","chromatin  other"
1230,"IOX2",,"targeted","experimental","EGLN1","other"
1236,"UNC0638",,"targeted","experimental","G9a(EHMT2), GLP(EHMT1)","chromatin  histone methylation"
1239,"YK 4-279",,"targeted","experimental","RNA helicase A","other"
1241,"CHIR-99021",,"targeted","experimental","GSK3B","WNT signaling"
1242,"(5Z)-7-Oxozeaenol",,"targeted","experimental","MAP3K7 (TAK1)","other"
1243,"piperlongumine",,"not defined","experimental","Increases ROS levels","other"
1248,"FK866",,"targeted","experimental","NAMPT","metabolism"
1259,"BMN-673",,"targeted","experimental","PARP1","Genome integrity"
1261,"rTRAIL",,"targeted","experimental","TR10A (DR4),  TR10B (DR5)","apoptosis regulation"
1262,"UNC1215",,"targeted","experimental","LMBL3","other"
1264,"SGC0946",,"targeted","experimental","Q8TEK3 (DOT1L)","chromatin  histone methylation"
1268,"XAV 939",,"targeted","experimental","TNKS1 (tankyrase-1)","WNT signaling"
1371,"PLX4720 (rescreen)","Zelboraf","targeted","experimental","BRAF","ERK MAPK signaling"
1372,"Trametinib","Mekinist","targeted","clinically approved","MAP2K1 (MEK1), MAP2K2 (MEK2)","ERK MAPK signaling"
1373,"Dabrafenib","Tafinlar","targeted","clinically approved","BRAF","ERK MAPK signaling"
1375,"Temozolomide",,"cytotoxic","clinically approved","DNA akylating agent","DNA replication"
1377,"Afatinib (rescreen)","Gilotrif","targeted","clinically approved","ERBB2, EGFR","EGFR signaling"
1378,"Bleomycin (50 uM)",,"cytotoxic","clinically approved","DNA damage","DNA replication"
1494,"SN-38",,"cytotoxic","experimental","TOP1","DNA replication"
1495,"Olaparib",,"targeted","clinically approved","PARP1, PARP2","Genome integrity"
1498,"AZD6244",,"targeted","in clinical development","MAP2K1 (MEK1), MAP2K2 (MEK2)","ERK MAPK signaling"
1502,"Bicalutamide","Casodex","targeted","clinically approved","ANDR (androgen receptor)","other"
1526,"RDEA119 (rescreen)",,"targeted","experimental","MAP2K1 (MEK1), MAP2K2 (MEK2)","ERK MAPK signaling"
1527,"GDC0941 (rescreen)",,"targeted","in clinical development","PI3K","PI3K signaling"
1529,"MLN4924",,"targeted","in clinical development","NEDD8-activating enzyme","other"
